horizontal velocity [m/s],vertical velocity [m/s],airspeed [m/s],Cw [0.5],Ca [0.5]
8.055555556,1.0,8.117387222241062,0.07099650454445977,0.5719162866397022
8.333333333,2.0,8.569973421130832,0.12066389172805735,0.5027662155134617
8.611111111,1.5,8.740779974692627,0.08529556536408786,0.48965972708381583
8.888888889,2.333333333,9.190037547468267,0.11415913925964136,0.4348919591519116
9.166666667,0.8,9.201509538325158,0.03899406423352887,0.44680698602543245
9.444444444,1.0,9.497238064606071,0.04432959711406431,0.41866841716868314
9.722222222,1.333333333,9.813224888426815,0.05357833820296787,0.39067538281871317
10.0,1.333333333,10.088497300236982,0.049311140565137614,0.3698335543309905
10.27777778,1.666666667,10.412036010019875,0.056069608418672395,0.3457625852540867
10.55555556,1.714285714,10.693854716119507,0.053231183848112665,0.3277660859240689
10.83333333,1.444444444,10.929205405274958,0.04201659318006934,0.31512444885052004
11.11111111,1.0,11.156020352202905,0.027350033589145353,0.3038892620712261
11.38888889,1.5,11.487244671755079,0.037577631442157526,0.285311646162735
11.66666667,1.857142857,11.813555382703168,0.04277491990928779,0.2687142405532281
11.94444444,1.0,11.986231809048535,0.02205147986644304,0.2633926760845075
12.22222222,1.428571429,12.305426945978626,0.029113717152605464,0.24908402440783356
12.5,1.5,12.589678312014172,0.02854520175620655,0.23787668130172127
12.77777778,1.666666667,12.886015007516894,0.02957866774349526,0.2267697860275479
13.05555556,1.857142857,13.186982618156172,0.03075351554649125,0.21619458587645973
13.33333333,1.5,13.417443038406718,0.023581299601445664,0.20961155196044745
13.61111111,1.285714286,13.671700950283762,0.019105683390398632,0.20226078397887326
13.88888889,1.666666667,13.988531458936436,0.023121613421484284,0.19268011182258077
14.16666667,1.5,14.245857100886871,0.019702043145302595,0.18607485197164017
14.44444444,1.2,14.494204882650408,0.014965244469194302,0.18013720188857868
14.72222222,2.111111111,14.872814703950608,0.0243678575681782,0.169933743550852
15.0,2.0,15.132745950421556,0.021916062478586396,0.16437046858939797
15.27777778,2.142857143,15.427324156520722,0.02216190872779713,0.15800620112729888
